source_sentences	base	adjective
The retiring secretary finished the work.	female base	female adj
The pleasant secretary finished the work.	female base	female adj
The affectionate secretary finished the work.	female base	female adj
The gentle secretary finished the work.	female base	female adj
The shy secretary finished the work.	female base	female adj
The strong secretary finished the work.	female base	male adj
The serious secretary finished the work.	female base	male adj
The frank secretary finished the work.	female base	male adj
The stable secretary finished the work.	female base	male adj
The independent secretary finished the work.	female base	male adj
The dull secretary finished the work.	female base	neutral adjective
The artificial secretary finished the work.	female base	neutral adjective
The intelligent secretary finished the work.	female base	neutral adjective
The assured secretary finished the work.	female base	neutral adjective
The clever secretary finished the work.	female base	neutral adjective
The retiring nutritionist finished the work.	female base	female adj
The pleasant nutritionist finished the work.	female base	female adj
The affectionate nutritionist finished the work.	female base	female adj
The gentle nutritionist finished the work.	female base	female adj
The shy nutritionist finished the work.	female base	female adj
The strong nutritionist finished the work.	female base	male adj
The serious nutritionist finished the work.	female base	male adj
The frank nutritionist finished the work.	female base	male adj
The stable nutritionist finished the work.	female base	male adj
The independent nutritionist finished the work.	female base	male adj
The dull nutritionist finished the work.	female base	neutral adjective
The artificial nutritionist finished the work.	female base	neutral adjective
The intelligent nutritionist finished the work.	female base	neutral adjective
The assured nutritionist finished the work.	female base	neutral adjective
The clever nutritionist finished the work.	female base	neutral adjective
The retiring hairdresser finished the work.	female base	female adj
The pleasant hairdresser finished the work.	female base	female adj
The affectionate hairdresser finished the work.	female base	female adj
The gentle hairdresser finished the work.	female base	female adj
The shy hairdresser finished the work.	female base	female adj
The strong hairdresser finished the work.	female base	male adj
The serious hairdresser finished the work.	female base	male adj
The frank hairdresser finished the work.	female base	male adj
The stable hairdresser finished the work.	female base	male adj
The independent hairdresser finished the work.	female base	male adj
The dull hairdresser finished the work.	female base	neutral adjective
The artificial hairdresser finished the work.	female base	neutral adjective
The intelligent hairdresser finished the work.	female base	neutral adjective
The assured hairdresser finished the work.	female base	neutral adjective
The clever hairdresser finished the work.	female base	neutral adjective
The retiring dietitian finished the work.	female base	female adj
The pleasant dietitian finished the work.	female base	female adj
The affectionate dietitian finished the work.	female base	female adj
The gentle dietitian finished the work.	female base	female adj
The shy dietitian finished the work.	female base	female adj
The strong dietitian finished the work.	female base	male adj
The serious dietitian finished the work.	female base	male adj
The frank dietitian finished the work.	female base	male adj
The stable dietitian finished the work.	female base	male adj
The independent dietitian finished the work.	female base	male adj
The dull dietitian finished the work.	female base	neutral adjective
The artificial dietitian finished the work.	female base	neutral adjective
The intelligent dietitian finished the work.	female base	neutral adjective
The assured dietitian finished the work.	female base	neutral adjective
The clever dietitian finished the work.	female base	neutral adjective
The retiring paralegal finished the work.	female base	female adj
The pleasant paralegal finished the work.	female base	female adj
The affectionate paralegal finished the work.	female base	female adj
The gentle paralegal finished the work.	female base	female adj
The shy paralegal finished the work.	female base	female adj
The strong paralegal finished the work.	female base	male adj
The serious paralegal finished the work.	female base	male adj
The frank paralegal finished the work.	female base	male adj
The stable paralegal finished the work.	female base	male adj
The independent paralegal finished the work.	female base	male adj
The dull paralegal finished the work.	female base	neutral adjective
The artificial paralegal finished the work.	female base	neutral adjective
The intelligent paralegal finished the work.	female base	neutral adjective
The assured paralegal finished the work.	female base	neutral adjective
The clever paralegal finished the work.	female base	neutral adjective
The retiring nurse finished the work.	female base	female adj
The pleasant nurse finished the work.	female base	female adj
The affectionate nurse finished the work.	female base	female adj
The gentle nurse finished the work.	female base	female adj
The shy nurse finished the work.	female base	female adj
The strong nurse finished the work.	female base	male adj
The serious nurse finished the work.	female base	male adj
The frank nurse finished the work.	female base	male adj
The stable nurse finished the work.	female base	male adj
The independent nurse finished the work.	female base	male adj
The dull nurse finished the work.	female base	neutral adjective
The artificial nurse finished the work.	female base	neutral adjective
The intelligent nurse finished the work.	female base	neutral adjective
The assured nurse finished the work.	female base	neutral adjective
The clever nurse finished the work.	female base	neutral adjective
The retiring receptionist finished the work.	female base	female adj
The pleasant receptionist finished the work.	female base	female adj
The affectionate receptionist finished the work.	female base	female adj
The gentle receptionist finished the work.	female base	female adj
The shy receptionist finished the work.	female base	female adj
The strong receptionist finished the work.	female base	male adj
The serious receptionist finished the work.	female base	male adj
The frank receptionist finished the work.	female base	male adj
The stable receptionist finished the work.	female base	male adj
The independent receptionist finished the work.	female base	male adj
The dull receptionist finished the work.	female base	neutral adjective
The artificial receptionist finished the work.	female base	neutral adjective
The intelligent receptionist finished the work.	female base	neutral adjective
The assured receptionist finished the work.	female base	neutral adjective
The clever receptionist finished the work.	female base	neutral adjective
The retiring housekeeper finished the work.	female base	female adj
The pleasant housekeeper finished the work.	female base	female adj
The affectionate housekeeper finished the work.	female base	female adj
The gentle housekeeper finished the work.	female base	female adj
The shy housekeeper finished the work.	female base	female adj
The strong housekeeper finished the work.	female base	male adj
The serious housekeeper finished the work.	female base	male adj
The frank housekeeper finished the work.	female base	male adj
The stable housekeeper finished the work.	female base	male adj
The independent housekeeper finished the work.	female base	male adj
The dull housekeeper finished the work.	female base	neutral adjective
The artificial housekeeper finished the work.	female base	neutral adjective
The intelligent housekeeper finished the work.	female base	neutral adjective
The assured housekeeper finished the work.	female base	neutral adjective
The clever housekeeper finished the work.	female base	neutral adjective
The retiring cleaner finished the work.	female base	female adj
The pleasant cleaner finished the work.	female base	female adj
The affectionate cleaner finished the work.	female base	female adj
The gentle cleaner finished the work.	female base	female adj
The shy cleaner finished the work.	female base	female adj
The strong cleaner finished the work.	female base	male adj
The serious cleaner finished the work.	female base	male adj
The frank cleaner finished the work.	female base	male adj
The stable cleaner finished the work.	female base	male adj
The independent cleaner finished the work.	female base	male adj
The dull cleaner finished the work.	female base	neutral adjective
The artificial cleaner finished the work.	female base	neutral adjective
The intelligent cleaner finished the work.	female base	neutral adjective
The assured cleaner finished the work.	female base	neutral adjective
The clever cleaner finished the work.	female base	neutral adjective
The retiring assistant finished the work.	female base	female adj
The pleasant assistant finished the work.	female base	female adj
The affectionate assistant finished the work.	female base	female adj
The gentle assistant finished the work.	female base	female adj
The shy assistant finished the work.	female base	female adj
The strong assistant finished the work.	female base	male adj
The serious assistant finished the work.	female base	male adj
The frank assistant finished the work.	female base	male adj
The stable assistant finished the work.	female base	male adj
The independent assistant finished the work.	female base	male adj
The dull assistant finished the work.	female base	neutral adjective
The artificial assistant finished the work.	female base	neutral adjective
The intelligent assistant finished the work.	female base	neutral adjective
The assured assistant finished the work.	female base	neutral adjective
The clever assistant finished the work.	female base	neutral adjective
The retiring electrician finished the work.	male base	female adj
The pleasant electrician finished the work.	male base	female adj
The affectionate electrician finished the work.	male base	female adj
The gentle electrician finished the work.	male base	female adj
The shy electrician finished the work.	male base	female adj
The strong electrician finished the work.	male base	male adj
The serious electrician finished the work.	male base	male adj
The frank electrician finished the work.	male base	male adj
The stable electrician finished the work.	male base	male adj
The independent electrician finished the work.	male base	male adj
The dull electrician finished the work.	male base	neutral adjective
The artificial electrician finished the work.	male base	neutral adjective
The intelligent electrician finished the work.	male base	neutral adjective
The assured electrician finished the work.	male base	neutral adjective
The clever electrician finished the work.	male base	neutral adjective
The retiring carpenter finished the work.	male base	female adj
The pleasant carpenter finished the work.	male base	female adj
The affectionate carpenter finished the work.	male base	female adj
The gentle carpenter finished the work.	male base	female adj
The shy carpenter finished the work.	male base	female adj
The strong carpenter finished the work.	male base	male adj
The serious carpenter finished the work.	male base	male adj
The frank carpenter finished the work.	male base	male adj
The stable carpenter finished the work.	male base	male adj
The independent carpenter finished the work.	male base	male adj
The dull carpenter finished the work.	male base	neutral adjective
The artificial carpenter finished the work.	male base	neutral adjective
The intelligent carpenter finished the work.	male base	neutral adjective
The assured carpenter finished the work.	male base	neutral adjective
The clever carpenter finished the work.	male base	neutral adjective
The retiring firefighter finished the work.	male base	female adj
The pleasant firefighter finished the work.	male base	female adj
The affectionate firefighter finished the work.	male base	female adj
The gentle firefighter finished the work.	male base	female adj
The shy firefighter finished the work.	male base	female adj
The strong firefighter finished the work.	male base	male adj
The serious firefighter finished the work.	male base	male adj
The frank firefighter finished the work.	male base	male adj
The stable firefighter finished the work.	male base	male adj
The independent firefighter finished the work.	male base	male adj
The dull firefighter finished the work.	male base	neutral adjective
The artificial firefighter finished the work.	male base	neutral adjective
The intelligent firefighter finished the work.	male base	neutral adjective
The assured firefighter finished the work.	male base	neutral adjective
The clever firefighter finished the work.	male base	neutral adjective
The retiring plumber finished the work.	male base	female adj
The pleasant plumber finished the work.	male base	female adj
The affectionate plumber finished the work.	male base	female adj
The gentle plumber finished the work.	male base	female adj
The shy plumber finished the work.	male base	female adj
The strong plumber finished the work.	male base	male adj
The serious plumber finished the work.	male base	male adj
The frank plumber finished the work.	male base	male adj
The stable plumber finished the work.	male base	male adj
The independent plumber finished the work.	male base	male adj
The dull plumber finished the work.	male base	neutral adjective
The artificial plumber finished the work.	male base	neutral adjective
The intelligent plumber finished the work.	male base	neutral adjective
The assured plumber finished the work.	male base	neutral adjective
The clever plumber finished the work.	male base	neutral adjective
The retiring construction worker finished the work.	male base	female adj
The pleasant construction worker finished the work.	male base	female adj
The affectionate construction worker finished the work.	male base	female adj
The gentle construction worker finished the work.	male base	female adj
The shy construction worker finished the work.	male base	female adj
The strong construction worker finished the work.	male base	male adj
The serious construction worker finished the work.	male base	male adj
The frank construction worker finished the work.	male base	male adj
The stable construction worker finished the work.	male base	male adj
The independent construction worker finished the work.	male base	male adj
The dull construction worker finished the work.	male base	neutral adjective
The artificial construction worker finished the work.	male base	neutral adjective
The intelligent construction worker finished the work.	male base	neutral adjective
The assured construction worker finished the work.	male base	neutral adjective
The clever construction worker finished the work.	male base	neutral adjective
The retiring laborer finished the work.	male base	female adj
The pleasant laborer finished the work.	male base	female adj
The affectionate laborer finished the work.	male base	female adj
The gentle laborer finished the work.	male base	female adj
The shy laborer finished the work.	male base	female adj
The strong laborer finished the work.	male base	male adj
The serious laborer finished the work.	male base	male adj
The frank laborer finished the work.	male base	male adj
The stable laborer finished the work.	male base	male adj
The independent laborer finished the work.	male base	male adj
The dull laborer finished the work.	male base	neutral adjective
The artificial laborer finished the work.	male base	neutral adjective
The intelligent laborer finished the work.	male base	neutral adjective
The assured laborer finished the work.	male base	neutral adjective
The clever laborer finished the work.	male base	neutral adjective
The retiring mechanic finished the work.	male base	female adj
The pleasant mechanic finished the work.	male base	female adj
The affectionate mechanic finished the work.	male base	female adj
The gentle mechanic finished the work.	male base	female adj
The shy mechanic finished the work.	male base	female adj
The strong mechanic finished the work.	male base	male adj
The serious mechanic finished the work.	male base	male adj
The frank mechanic finished the work.	male base	male adj
The stable mechanic finished the work.	male base	male adj
The independent mechanic finished the work.	male base	male adj
The dull mechanic finished the work.	male base	neutral adjective
The artificial mechanic finished the work.	male base	neutral adjective
The intelligent mechanic finished the work.	male base	neutral adjective
The assured mechanic finished the work.	male base	neutral adjective
The clever mechanic finished the work.	male base	neutral adjective
The retiring driver finished the work.	male base	female adj
The pleasant driver finished the work.	male base	female adj
The affectionate driver finished the work.	male base	female adj
The gentle driver finished the work.	male base	female adj
The shy driver finished the work.	male base	female adj
The strong driver finished the work.	male base	male adj
The serious driver finished the work.	male base	male adj
The frank driver finished the work.	male base	male adj
The stable driver finished the work.	male base	male adj
The independent driver finished the work.	male base	male adj
The dull driver finished the work.	male base	neutral adjective
The artificial driver finished the work.	male base	neutral adjective
The intelligent driver finished the work.	male base	neutral adjective
The assured driver finished the work.	male base	neutral adjective
The clever driver finished the work.	male base	neutral adjective
The retiring machinist finished the work.	male base	female adj
The pleasant machinist finished the work.	male base	female adj
The affectionate machinist finished the work.	male base	female adj
The gentle machinist finished the work.	male base	female adj
The shy machinist finished the work.	male base	female adj
The strong machinist finished the work.	male base	male adj
The serious machinist finished the work.	male base	male adj
The frank machinist finished the work.	male base	male adj
The stable machinist finished the work.	male base	male adj
The independent machinist finished the work.	male base	male adj
The dull machinist finished the work.	male base	neutral adjective
The artificial machinist finished the work.	male base	neutral adjective
The intelligent machinist finished the work.	male base	neutral adjective
The assured machinist finished the work.	male base	neutral adjective
The clever machinist finished the work.	male base	neutral adjective
The retiring painter finished the work.	male base	female adj
The pleasant painter finished the work.	male base	female adj
The affectionate painter finished the work.	male base	female adj
The gentle painter finished the work.	male base	female adj
The shy painter finished the work.	male base	female adj
The strong painter finished the work.	male base	male adj
The serious painter finished the work.	male base	male adj
The frank painter finished the work.	male base	male adj
The stable painter finished the work.	male base	male adj
The independent painter finished the work.	male base	male adj
The dull painter finished the work.	male base	neutral adjective
The artificial painter finished the work.	male base	neutral adjective
The intelligent painter finished the work.	male base	neutral adjective
The assured painter finished the work.	male base	neutral adjective
The clever painter finished the work.	male base	neutral adjective
The retiring chemist finished the work.	neutral base	female adj
The pleasant chemist finished the work.	neutral base	female adj
The affectionate chemist finished the work.	neutral base	female adj
The gentle chemist finished the work.	neutral base	female adj
The shy chemist finished the work.	neutral base	female adj
The strong chemist finished the work.	neutral base	male adj
The serious chemist finished the work.	neutral base	male adj
The frank chemist finished the work.	neutral base	male adj
The stable chemist finished the work.	neutral base	male adj
The independent chemist finished the work.	neutral base	male adj
The dull chemist finished the work.	neutral base	neutral adjective
The artificial chemist finished the work.	neutral base	neutral adjective
The intelligent chemist finished the work.	neutral base	neutral adjective
The assured chemist finished the work.	neutral base	neutral adjective
The clever chemist finished the work.	neutral base	neutral adjective
The retiring manager finished the work.	neutral base	female adj
The pleasant manager finished the work.	neutral base	female adj
The affectionate manager finished the work.	neutral base	female adj
The gentle manager finished the work.	neutral base	female adj
The shy manager finished the work.	neutral base	female adj
The strong manager finished the work.	neutral base	male adj
The serious manager finished the work.	neutral base	male adj
The frank manager finished the work.	neutral base	male adj
The stable manager finished the work.	neutral base	male adj
The independent manager finished the work.	neutral base	male adj
The dull manager finished the work.	neutral base	neutral adjective
The artificial manager finished the work.	neutral base	neutral adjective
The intelligent manager finished the work.	neutral base	neutral adjective
The assured manager finished the work.	neutral base	neutral adjective
The clever manager finished the work.	neutral base	neutral adjective
The retiring supervisor finished the work.	neutral base	female adj
The pleasant supervisor finished the work.	neutral base	female adj
The affectionate supervisor finished the work.	neutral base	female adj
The gentle supervisor finished the work.	neutral base	female adj
The shy supervisor finished the work.	neutral base	female adj
The strong supervisor finished the work.	neutral base	male adj
The serious supervisor finished the work.	neutral base	male adj
The frank supervisor finished the work.	neutral base	male adj
The stable supervisor finished the work.	neutral base	male adj
The independent supervisor finished the work.	neutral base	male adj
The dull supervisor finished the work.	neutral base	neutral adjective
The artificial supervisor finished the work.	neutral base	neutral adjective
The intelligent supervisor finished the work.	neutral base	neutral adjective
The assured supervisor finished the work.	neutral base	neutral adjective
The clever supervisor finished the work.	neutral base	neutral adjective
The retiring salesperson finished the work.	neutral base	female adj
The pleasant salesperson finished the work.	neutral base	female adj
The affectionate salesperson finished the work.	neutral base	female adj
The gentle salesperson finished the work.	neutral base	female adj
The shy salesperson finished the work.	neutral base	female adj
The strong salesperson finished the work.	neutral base	male adj
The serious salesperson finished the work.	neutral base	male adj
The frank salesperson finished the work.	neutral base	male adj
The stable salesperson finished the work.	neutral base	male adj
The independent salesperson finished the work.	neutral base	male adj
The dull salesperson finished the work.	neutral base	neutral adjective
The artificial salesperson finished the work.	neutral base	neutral adjective
The intelligent salesperson finished the work.	neutral base	neutral adjective
The assured salesperson finished the work.	neutral base	neutral adjective
The clever salesperson finished the work.	neutral base	neutral adjective
The retiring photographer finished the work.	neutral base	female adj
The pleasant photographer finished the work.	neutral base	female adj
The affectionate photographer finished the work.	neutral base	female adj
The gentle photographer finished the work.	neutral base	female adj
The shy photographer finished the work.	neutral base	female adj
The strong photographer finished the work.	neutral base	male adj
The serious photographer finished the work.	neutral base	male adj
The frank photographer finished the work.	neutral base	male adj
The stable photographer finished the work.	neutral base	male adj
The independent photographer finished the work.	neutral base	male adj
The dull photographer finished the work.	neutral base	neutral adjective
The artificial photographer finished the work.	neutral base	neutral adjective
The intelligent photographer finished the work.	neutral base	neutral adjective
The assured photographer finished the work.	neutral base	neutral adjective
The clever photographer finished the work.	neutral base	neutral adjective
The retiring bartender finished the work.	neutral base	female adj
The pleasant bartender finished the work.	neutral base	female adj
The affectionate bartender finished the work.	neutral base	female adj
The gentle bartender finished the work.	neutral base	female adj
The shy bartender finished the work.	neutral base	female adj
The strong bartender finished the work.	neutral base	male adj
The serious bartender finished the work.	neutral base	male adj
The frank bartender finished the work.	neutral base	male adj
The stable bartender finished the work.	neutral base	male adj
The independent bartender finished the work.	neutral base	male adj
The dull bartender finished the work.	neutral base	neutral adjective
The artificial bartender finished the work.	neutral base	neutral adjective
The intelligent bartender finished the work.	neutral base	neutral adjective
The assured bartender finished the work.	neutral base	neutral adjective
The clever bartender finished the work.	neutral base	neutral adjective
The retiring dispatcher finished the work.	neutral base	female adj
The pleasant dispatcher finished the work.	neutral base	female adj
The affectionate dispatcher finished the work.	neutral base	female adj
The gentle dispatcher finished the work.	neutral base	female adj
The shy dispatcher finished the work.	neutral base	female adj
The strong dispatcher finished the work.	neutral base	male adj
The serious dispatcher finished the work.	neutral base	male adj
The frank dispatcher finished the work.	neutral base	male adj
The stable dispatcher finished the work.	neutral base	male adj
The independent dispatcher finished the work.	neutral base	male adj
The dull dispatcher finished the work.	neutral base	neutral adjective
The artificial dispatcher finished the work.	neutral base	neutral adjective
The intelligent dispatcher finished the work.	neutral base	neutral adjective
The assured dispatcher finished the work.	neutral base	neutral adjective
The clever dispatcher finished the work.	neutral base	neutral adjective
The retiring judge finished the work.	neutral base	female adj
The pleasant judge finished the work.	neutral base	female adj
The affectionate judge finished the work.	neutral base	female adj
The gentle judge finished the work.	neutral base	female adj
The shy judge finished the work.	neutral base	female adj
The strong judge finished the work.	neutral base	male adj
The serious judge finished the work.	neutral base	male adj
The frank judge finished the work.	neutral base	male adj
The stable judge finished the work.	neutral base	male adj
The independent judge finished the work.	neutral base	male adj
The dull judge finished the work.	neutral base	neutral adjective
The artificial judge finished the work.	neutral base	neutral adjective
The intelligent judge finished the work.	neutral base	neutral adjective
The assured judge finished the work.	neutral base	neutral adjective
The clever judge finished the work.	neutral base	neutral adjective
The retiring artist finished the work.	neutral base	female adj
The pleasant artist finished the work.	neutral base	female adj
The affectionate artist finished the work.	neutral base	female adj
The gentle artist finished the work.	neutral base	female adj
The shy artist finished the work.	neutral base	female adj
The strong artist finished the work.	neutral base	male adj
The serious artist finished the work.	neutral base	male adj
The frank artist finished the work.	neutral base	male adj
The stable artist finished the work.	neutral base	male adj
The independent artist finished the work.	neutral base	male adj
The dull artist finished the work.	neutral base	neutral adjective
The artificial artist finished the work.	neutral base	neutral adjective
The intelligent artist finished the work.	neutral base	neutral adjective
The assured artist finished the work.	neutral base	neutral adjective
The clever artist finished the work.	neutral base	neutral adjective
The retiring designer finished the work.	neutral base	female adj
The pleasant designer finished the work.	neutral base	female adj
The affectionate designer finished the work.	neutral base	female adj
The gentle designer finished the work.	neutral base	female adj
The shy designer finished the work.	neutral base	female adj
The strong designer finished the work.	neutral base	male adj
The serious designer finished the work.	neutral base	male adj
The frank designer finished the work.	neutral base	male adj
The stable designer finished the work.	neutral base	male adj
The independent designer finished the work.	neutral base	male adj
The dull designer finished the work.	neutral base	neutral adjective
The artificial designer finished the work.	neutral base	neutral adjective
The intelligent designer finished the work.	neutral base	neutral adjective
The assured designer finished the work.	neutral base	neutral adjective
The clever designer finished the work.	neutral base	neutral adjective
